Referencia,Descricao,Quantidade Estoque,Preço de Venda,Preço de Custo,SKU,EAN
9501473100,9501473100 MOLA VARETA FREIO,2,"R$ 3,83","R$ 2,55",CMNS0483KLE,7897925504835
9410112000,9410112000 ARRUELA PLANA 12MM,10,"R$ 3,83","R$ 2,55",CMNS0484KLE,7897925504842
90084041000,90084041000 PARAFUSO FIX PINHAO,2,"R$ 5,16","R$ 3,44",CMNS0485KLE,7897925504859
9403012200,9403012200 PORCA SEXTAVADA 12MM,1,"R$ 8,28","R$ 5,52",CMNS0486KLE,7897925504866
90201GHRE20,90201GHRE20 PORCA SEXTAVADA 5MM,9,"R$ 8,85","R$ 5,90",CMNS0487KLE,7897925504873
88114KYVT00,88114KYVT00 CAPA PROTECAO PORCA,2,"R$ 24,48","R$ 16,32",CMNS0488KLE,7897925504880
0122AKSS305,0122AKSS305 KIT REVISAO BIZ125 1,3,"R$ 41,96","R$ 27,97",CMNS0489KLE,7897925504897
15411K2KB00,15411K2KB00 TAMPA ALOJAMENTO FIL,1,"R$ 80,45","R$ 53,63",CMNS0490KLE,7897925504903
24701K2KB00,24701K2KB00 PEDAL ALAVANCA TROCA,1,"R$ 93,66","R$ 62,44",CMNS0491KLE,7897925504910
14711KWG600,VALVULA ADMISSAO MOT,1,"R$ 108,14","R$ 72,09",CMNS0492KLE,7897925504927
88210KREB01,ESPELHO RETROVISOR D,1,"R$ 109,94","R$ 73,29",CMNS0493KLE,7897925504934
80100GFP900,PARA-LAMA TRASEIRO,2,"R$ 147,93","R$ 98,62",CMNS0494KLE,7897925504941
23461439000,ENGRENAGEM M3 TRANSM,3,"R$ 134,16","R$ 89,44",CMNS0495KLE,7897925504958
14721KWG600,VALVULA ESCAPE MOTOR,1,"R$ 203,54","R$ 135,69",CMNS0496KLE,7897925504965
64300K31B50ZD,64300K31B50ZD CARENAGEM LATERAL ES,1,"R$ 293,40","R$ 195,60",CMNS0497KLE,7897925504972
06222GFP305,06222GFP305 KIT EMBREAGEM POP100,2,"R$ 396,03","R$ 264,02",CMNS0498KLE,7897925504989
12010KVKB20,CJ CABECOTE CILINDRO,1,"R$ 1.827,11","R$ 1.218,07",CMNS0499KLE,7897925504996